id,category_id
1,3
1,2
1,1
1,4
1,3
1,2
1,1
2,3
2,2
2,1
2,4
2,3
2,2
2,1
2,7
2,2
2,1
3,3
3,2
3,1
3,4
3,3
3,2
3,1
4,3
4,2
4,1
4,4
4,3
4,2
4,1
4,7
4,2
4,1
4,8
4,7
4,2
4,1
5,3
5,2
5,1
5,4
5,3
5,2
5,1
5,7
5,2
5,1
5,8
5,7
5,2
5,1
6,3
6,2
6,1
6,4
6,3
6,2
6,1
7,3
7,2
7,1
7,4
7,3
7,2
7,1
8,3
8,2
8,1
8,4
8,3
8,2
8,1
9,3
9,2
9,1
9,4
9,3
9,2
9,1
10,3
10,2
10,1
10,4
10,3
10,2
10,1
10,7
10,2
10,1
11,3
11,2
11,1
11,4
11,3
11,2
11,1
11,7
11,2
11,1
12,3
12,2
12,1
12,4
12,3
12,2
12,1
13,3
13,2
13,1
13,4
13,3
13,2
13,1
13,7
13,2
13,1
13,8
13,7
13,2
13,1
14,3
14,2
14,1
14,4
14,3
14,2
14,1
14,7
14,2
14,1
15,3
15,2
15,1
15,5
15,3
15,2
15,1
16,3
16,2
16,1
16,5
16,3
16,2
16,1
16,7
16,2
16,1
17,3
17,2
17,1
17,5
17,3
17,2
17,1
18,3
18,2
18,1
18,5
18,3
18,2
18,1
19,3
19,2
19,1
19,5
19,3
19,2
19,1
19,7
19,2
19,1
19,8
19,7
19,2
19,1
20,3
20,2
20,1
20,5
20,3
20,2
20,1
21,3
21,2
21,1
21,5
21,3
21,2
21,1
22,3
22,2
22,1
22,5
22,3
22,2
22,1
23,3
23,2
23,1
23,5
23,3
23,2
23,1
24,3
24,2
24,1
24,5
24,3
24,2
24,1
25,3
25,2
25,1
25,5
25,3
25,2
25,1
26,3
26,2
26,1
26,5
26,3
26,2
26,1
27,3
27,2
27,1
27,5
27,3
27,2
27,1
28,3
28,2
28,1
28,5
28,3
28,2
28,1
29,3
29,2
29,1
29,5
29,3
29,2
29,1
30,3
30,2
30,1
30,5
30,3
30,2
30,1
31,3
31,2
31,1
31,5
31,3
31,2
31,1
32,3
32,2
32,1
32,5
32,3
32,2
32,1
33,3
33,2
33,1
33,5
33,3
33,2
33,1
34,3
34,2
34,1
34,5
34,3
34,2
34,1
35,3
35,2
35,1
35,5
35,3
35,2
35,1
36,3
36,2
36,1
36,6
36,3
36,2
36,1
37,3
37,2
37,1
37,6
37,3
37,2
37,1
38,3
38,2
38,1
38,6
38,3
38,2
38,1
38,7
38,2
38,1
38,8
38,7
38,2
38,1
39,3
39,2
39,1
39,6
39,3
39,2
39,1
39,7
39,2
39,1
39,8
39,7
39,2
39,1
40,3
40,2
40,1
40,6
40,3
40,2
40,1
40,7
40,2
40,1
40,8
40,7
40,2
40,1
41,3
41,2
41,1
41,6
41,3
41,2
41,1
42,3
42,2
42,1
42,6
42,3
42,2
42,1
43,3
43,2
43,1
43,6
43,3
43,2
43,1
44,3
44,2
44,1
44,6
44,3
44,2
44,1
44,7
44,2
44,1
44,8
44,7
44,2
44,1
45,3
45,2
45,1
45,5
45,3
45,2
45,1
46,9
46,2
46,1
46,10
46,9
46,2
46,1
47,9
47,2
47,1
47,10
47,9
47,2
47,1
48,9
48,2
48,1
48,10
48,9
48,2
48,1
49,9
49,2
49,1
49,10
49,9
49,2
49,1
50,9
50,2
50,1
50,10
50,9
50,2
50,1
51,9
51,2
51,1
51,10
51,9
51,2
51,1
67,2
67,1
67,15
67,12
67,11
67,2
67,1
67,36
67,7
67,2
67,1
83,15
83,12
83,11
83,2
83,1
99,2
99,1
99,15
99,12
99,11
99,2
99,1
99,36
99,7
99,2
99,1
115,2
115,1
115,15
115,12
115,11
115,2
115,1
115,36
115,7
115,2
115,1
131,15
131,12
131,11
131,2
131,1
147,15
147,12
147,11
147,2
147,1
163,15
163,12
163,11
163,2
163,1
179,15
179,12
179,11
179,2
179,1
195,15
195,12
195,11
195,2
195,1
211,15
211,12
211,11
211,2
211,1
227,15
227,12
227,11
227,2
227,1
243,15
243,12
243,11
243,2
243,1
259,15
259,12
259,11
259,2
259,1
275,14
275,12
275,11
275,2
275,1
291,14
291,12
291,11
291,2
291,1
307,2
307,1
307,14
307,12
307,11
307,2
307,1
307,36
307,7
307,2
307,1
323,14
323,12
323,11
323,2
323,1
339,14
339,12
339,11
339,2
339,1
355,14
355,12
355,11
355,2
355,1
371,14
371,12
371,11
371,2
371,1
387,14
387,12
387,11
387,2
387,1
403,2
403,1
403,14
403,12
403,11
403,2
403,1
403,36
403,7
403,2
403,1
419,14
419,12
419,11
419,2
419,1
435,14
435,12
435,11
435,2
435,1
451,16
451,12
451,11
451,2
451,1
467,2
467,1
467,16
467,12
467,11
467,2
467,1
467,36
467,7
467,2
467,1
483,16
483,12
483,11
483,2
483,1
499,16
499,12
499,11
499,2
499,1
515,16
515,12
515,11
515,2
515,1
531,16
531,12
531,11
531,2
531,1
547,16
547,12
547,11
547,2
547,1
563,16
563,12
563,11
563,2
563,1
579,16
579,12
579,11
579,2
579,1
595,16
595,12
595,11
595,2
595,1
611,16
611,12
611,11
611,2
611,1
627,16
627,12
627,11
627,2
627,1
643,17
643,12
643,11
643,2
643,1
659,17
659,12
659,11
659,2
659,1
675,17
675,12
675,11
675,2
675,1
681,17
681,12
681,11
681,2
681,1
687,17
687,12
687,11
687,2
687,1
693,17
693,12
693,11
693,2
693,1
699,2
699,1
699,17
699,12
699,11
699,2
699,1
699,36
699,7
699,2
699,1
705,17
705,12
705,11
705,2
705,1
711,17
711,12
711,11
711,2
711,1
717,17
717,12
717,11
717,2
717,1
723,2
723,1
723,17
723,12
723,11
723,2
723,1
723,36
723,7
723,2
723,1
729,17
729,12
729,11
729,2
729,1
742,2
742,1
742,18
742,13
742,11
742,2
742,1
742,32
742,29
742,2
742,1
755,2
755,1
755,18
755,13
755,11
755,2
755,1
755,32
755,29
755,2
755,1
755,35
755,7
755,2
755,1
768,2
768,1
768,8
768,7
768,2
768,1
768,18
768,13
768,11
768,2
768,1
768,32
768,29
768,2
768,1
781,2
781,1
781,18
781,13
781,11
781,2
781,1
781,32
781,29
781,2
781,1
794,2
794,1
794,8
794,7
794,2
794,1
794,18
794,13
794,11
794,2
794,1
794,32
794,29
794,2
794,1
807,2
807,1
807,18
807,13
807,11
807,2
807,1
807,32
807,29
807,2
807,1
807,36
807,7
807,2
807,1
820,2
820,1
820,8
820,7
820,2
820,1
820,18
820,13
820,11
820,2
820,1
820,32
820,29
820,2
820,1
833,2
833,1
833,8
833,7
833,2
833,1
833,18
833,13
833,11
833,2
833,1
833,32
833,29
833,2
833,1
846,2
846,1
846,8
846,7
846,2
846,1
846,18
846,13
846,11
846,2
846,1
846,32
846,29
846,2
846,1
846,34
846,7
846,2
846,1
859,2
859,1
859,18
859,13
859,11
859,2
859,1
859,32
859,29
859,2
859,1
859,34
859,7
859,2
859,1
872,2
872,1
872,18
872,13
872,11
872,2
872,1
872,32
872,29
872,2
872,1
872,34
872,7
872,2
872,1
885,2
885,1
885,18
885,13
885,11
885,2
885,1
885,32
885,29
885,2
885,1
898,2
898,1
898,19
898,13
898,11
898,2
898,1
898,34
898,7
898,2
898,1
903,19
903,13
903,11
903,2
903,1
916,2
916,1
916,19
916,13
916,11
916,2
916,1
916,35
916,7
916,2
916,1
929,19
929,13
929,11
929,2
929,1
942,2
942,1
942,19
942,13
942,11
942,2
942,1
942,35
942,7
942,2
942,1
955,2
955,1
955,8
955,7
955,2
955,1
955,19
955,13
955,11
955,2
955,1
968,2
968,1
968,19
968,13
968,11
968,2
968,1
968,31
968,29
968,2
968,1
968,34
968,7
968,2
968,1
981,2
981,1
981,19
981,13
981,11
981,2
981,1
981,31
981,29
981,2
981,1
994,2
994,1
994,19
994,13
994,11
994,2
994,1
994,35
994,7
994,2
994,1
1007,2
1007,1
1007,8
1007,7
1007,2
1007,1
1007,19
1007,13
1007,11
1007,2
1007,1
1020,19
1020,13
1020,11
1020,2
1020,1
1033,2
1033,1
1033,19
1033,13
1033,11
1033,2
1033,1
1033,31
1033,29
1033,2
1033,1
1049,2
1049,1
1049,8
1049,7
1049,2
1049,1
1049,24
1049,21
1049,20
1049,2
1049,1
1049,34
1049,7
1049,2
1049,1
1065,2
1065,1
1065,24
1065,21
1065,20
1065,2
1065,1
1065,30
1065,29
1065,2
1065,1
1081,24
1081,21
1081,20
1081,2
1081,1
1097,24
1097,21
1097,20
1097,2
1097,1
1113,24
1113,21
1113,20
1113,2
1113,1
1119,24
1119,21
1119,20
1119,2
1119,1
1135,2
1135,1
1135,8
1135,7
1135,2
1135,1
1135,24
1135,21
1135,20
1135,2
1135,1
1135,34
1135,7
1135,2
1135,1
1151,2
1151,1
1151,24
1151,21
1151,20
1151,2
1151,1
1151,30
1151,29
1151,2
1151,1
1151,35
1151,7
1151,2
1151,1
1167,2
1167,1
1167,24
1167,21
1167,20
1167,2
1167,1
1167,36
1167,7
1167,2
1167,1
1183,2
1183,1
1183,8
1183,7
1183,2
1183,1
1183,24
1183,21
1183,20
1183,2
1183,1
1199,2
1199,1
1199,24
1199,21
1199,20
1199,2
1199,1
1199,34
1199,7
1199,2
1199,1
1215,2
1215,1
1215,24
1215,21
1215,20
1215,2
1215,1
1215,35
1215,7
1215,2
1215,1
1225,2
1225,1
1225,8
1225,7
1225,2
1225,1
1225,23
1225,21
1225,20
1225,2
1225,1
1225,34
1225,7
1225,2
1225,1
1241,2
1241,1
1241,23
1241,21
1241,20
1241,2
1241,1
1241,30
1241,29
1241,2
1241,1
1257,23
1257,21
1257,20
1257,2
1257,1
1273,2
1273,1
1273,8
1273,7
1273,2
1273,1
1273,23
1273,21
1273,20
1273,2
1273,1
1273,35
1273,7
1273,2
1273,1
1289,23
1289,21
1289,20
1289,2
1289,1
1305,23
1305,21
1305,20
1305,2
1305,1
1321,2
1321,1
1321,23
1321,21
1321,20
1321,2
1321,1
1321,30
1321,29
1321,2
1321,1
1321,34
1321,7
1321,2
1321,1
1337,2
1337,1
1337,23
1337,21
1337,20
1337,2
1337,1
1337,34
1337,7
1337,2
1337,1
1353,2
1353,1
1353,8
1353,7
1353,2
1353,1
1353,23
1353,21
1353,20
1353,2
1353,1
1353,35
1353,7
1353,2
1353,1
1369,2
1369,1
1369,8
1369,7
1369,2
1369,1
1369,23
1369,21
1369,20
1369,2
1369,1
1385,2
1385,1
1385,23
1385,21
1385,20
1385,2
1385,1
1385,30
1385,29
1385,2
1385,1
1385,35
1385,7
1385,2
1385,1
1401,2
1401,1
1401,23
1401,21
1401,20
1401,2
1401,1
1401,30
1401,29
1401,2
1401,1
1401,35
1401,7
1401,2
1401,1
1417,2
1417,1
1417,8
1417,7
1417,2
1417,1
1417,25
1417,21
1417,20
1417,2
1417,1
1417,33
1417,29
1417,2
1417,1
1433,2
1433,1
1433,25
1433,21
1433,20
1433,2
1433,1
1433,33
1433,29
1433,2
1433,1
1433,35
1433,7
1433,2
1433,1
1449,2
1449,1
1449,8
1449,7
1449,2
1449,1
1449,25
1449,21
1449,20
1449,2
1449,1
1449,33
1449,29
1449,2
1449,1
1449,36
1449,7
1449,2
1449,1
1465,2
1465,1
1465,8
1465,7
1465,2
1465,1
1465,25
1465,21
1465,20
1465,2
1465,1
1465,33
1465,29
1465,2
1465,1
1465,36
1465,7
1465,2
1465,1
1481,2
1481,1
1481,8
1481,7
1481,2
1481,1
1481,25
1481,21
1481,20
1481,2
1481,1
1481,33
1481,29
1481,2
1481,1
1481,34
1481,7
1481,2
1481,1
1497,2
1497,1
1497,25
1497,21
1497,20
1497,2
1497,1
1497,30
1497,29
1497,2
1497,1
1497,33
1497,29
1497,2
1497,1
1513,2
1513,1
1513,25
1513,21
1513,20
1513,2
1513,1
1513,30
1513,29
1513,2
1513,1
1513,33
1513,29
1513,2
1513,1
1513,36
1513,7
1513,2
1513,1
1529,2
1529,1
1529,25
1529,21
1529,20
1529,2
1529,1
1529,33
1529,29
1529,2
1529,1
1529,35
1529,7
1529,2
1529,1
1545,2
1545,1
1545,25
1545,21
1545,20
1545,2
1545,1
1545,30
1545,29
1545,2
1545,1
1545,33
1545,29
1545,2
1545,1
1545,34
1545,7
1545,2
1545,1
1561,2
1561,1
1561,25
1561,21
1561,20
1561,2
1561,1
1561,33
1561,29
1561,2
1561,1
1561,35
1561,7
1561,2
1561,1
1577,2
1577,1
1577,25
1577,21
1577,20
1577,2
1577,1
1577,33
1577,29
1577,2
1577,1
1593,2
1593,1
1593,25
1593,21
1593,20
1593,2
1593,1
1593,33
1593,29
1593,2
1593,1
1609,2
1609,1
1609,26
1609,21
1609,20
1609,2
1609,1
1609,30
1609,29
1609,2
1609,1
1609,36
1609,7
1609,2
1609,1
1625,26
1625,21
1625,20
1625,2
1625,1
1641,2
1641,1
1641,8
1641,7
1641,2
1641,1
1641,26
1641,21
1641,20
1641,2
1641,1
1641,35
1641,7
1641,2
1641,1
1657,26
1657,21
1657,20
1657,2
1657,1
1673,26
1673,21
1673,20
1673,2
1673,1
1689,2
1689,1
1689,26
1689,21
1689,20
1689,2
1689,1
1689,36
1689,7
1689,2
1689,1
1705,26
1705,21
1705,20
1705,2
1705,1
1721,2
1721,1
1721,8
1721,7
1721,2
1721,1
1721,26
1721,21
1721,20
1721,2
1721,1
1721,34
1721,7
1721,2
1721,1
1737,2
1737,1
1737,26
1737,21
1737,20
1737,2
1737,1
1737,35
1737,7
1737,2
1737,1
1753,2
1753,1
1753,26
1753,21
1753,20
1753,2
1753,1
1753,34
1753,7
1753,2
1753,1
1769,26
1769,21
1769,20
1769,2
1769,1
1785,2
1785,1
1785,26
1785,21
1785,20
1785,2
1785,1
1785,35
1785,7
1785,2
1785,1
1801,2
1801,1
1801,26
1801,21
1801,20
1801,2
1801,1
1801,30
1801,29
1801,2
1801,1
1801,35
1801,7
1801,2
1801,1
1817,2
1817,1
1817,26
1817,21
1817,20
1817,2
1817,1
1817,30
1817,29
1817,2
1817,1
1817,34
1817,7
1817,2
1817,1
1824,2
1824,1
1824,27
1824,22
1824,20
1824,2
1824,1
1824,32
1824,29
1824,2
1824,1
1824,35
1824,7
1824,2
1824,1
1831,2
1831,1
1831,27
1831,22
1831,20
1831,2
1831,1
1831,32
1831,29
1831,2
1831,1
1831,35
1831,7
1831,2
1831,1
1838,2
1838,1
1838,8
1838,7
1838,2
1838,1
1838,27
1838,22
1838,20
1838,2
1838,1
1838,32
1838,29
1838,2
1838,1
1845,2
1845,1
1845,27
1845,22
1845,20
1845,2
1845,1
1845,32
1845,29
1845,2
1845,1
1852,2
1852,1
1852,27
1852,22
1852,20
1852,2
1852,1
1852,32
1852,29
1852,2
1852,1
1852,34
1852,7
1852,2
1852,1
1859,2
1859,1
1859,27
1859,22
1859,20
1859,2
1859,1
1859,32
1859,29
1859,2
1859,1
1859,34
1859,7
1859,2
1859,1
1866,2
1866,1
1866,27
1866,22
1866,20
1866,2
1866,1
1866,32
1866,29
1866,2
1866,1
1866,35
1866,7
1866,2
1866,1
1873,2
1873,1
1873,27
1873,22
1873,20
1873,2
1873,1
1873,32
1873,29
1873,2
1873,1
1880,2
1880,1
1880,27
1880,22
1880,20
1880,2
1880,1
1880,32
1880,29
1880,2
1880,1
1887,2
1887,1
1887,27
1887,22
1887,20
1887,2
1887,1
1887,32
1887,29
1887,2
1887,1
1887,36
1887,7
1887,2
1887,1
1894,2
1894,1
1894,27
1894,22
1894,20
1894,2
1894,1
1894,32
1894,29
1894,2
1894,1
1901,2
1901,1
1901,27
1901,22
1901,20
1901,2
1901,1
1901,32
1901,29
1901,2
1901,1
1901,35
1901,7
1901,2
1901,1
1908,2
1908,1
1908,27
1908,22
1908,20
1908,2
1908,1
1908,32
1908,29
1908,2
1908,1
1908,34
1908,7
1908,2
1908,1
1924,2
1924,1
1924,8
1924,7
1924,2
1924,1
1924,28
1924,22
1924,20
1924,2
1924,1
1924,36
1924,7
1924,2
1924,1
1940,2
1940,1
1940,28
1940,22
1940,20
1940,2
1940,1
1940,30
1940,29
1940,2
1940,1
1956,2
1956,1
1956,8
1956,7
1956,2
1956,1
1956,28
1956,22
1956,20
1956,2
1956,1
1956,35
1956,7
1956,2
1956,1
1972,28
1972,22
1972,20
1972,2
1972,1
1988,2
1988,1
1988,28
1988,22
1988,20
1988,2
1988,1
1988,30
1988,29
1988,2
1988,1
1995,28
1995,22
1995,20
1995,2
1995,1
2002,2
2002,1
2002,8
2002,7
2002,2
2002,1
2002,28
2002,22
2002,20
2002,2
2002,1
2008,2
2008,1
2008,28
2008,22
2008,20
2008,2
2008,1
2008,35
2008,7
2008,2
2008,1
2015,28
2015,22
2015,20
2015,2
2015,1
2022,2
2022,1
2022,28
2022,22
2022,20
2022,2
2022,1
2022,36
2022,7
2022,2
2022,1
2029,2
2029,1
2029,28
2029,22
2029,20
2029,2
2029,1
2029,34
2029,7
2029,2
2029,1
2045,2
2045,1
2045,28
2045,22
2045,20
2045,2
2045,1
2045,34
2045,7
2045,2
2045,1
2046,3
2046,2
2046,1
2046,5
2046,3
2046,2
2046,1
